ControlID,Framework,ControlName,ControlDescription,ProjectActivity,EvidenceArtifact,Status
A.9.1.1,ISO 27001,Access Control Policy,A policy on access control shall be established documented and reviewed,Defined least-privilege RBAC matrix mapping each of 16 roles to minimum required entitlements per system,rbac_matrix.csv,IMPLEMENTED
A.9.1.2,ISO 27001,Access to Networks and Network Services,Users shall only be provided access to the network and network services that they have been specifically authorized to use,Entitlement baseline enforced per role — no user holds entitlements outside their job function (post-remediation),user_entitlements_after.csv,IMPLEMENTED
A.9.2.1,ISO 27001,User Registration and De-registration,A formal user registration and de-registration process shall be implemented,26 users provisioned in Keycloak with formal role assignments tied to HR records in users.csv,users.csv + northfield-realm.json,IMPLEMENTED
A.9.2.2,ISO 27001,User Access Provisioning,A formal user access provisioning process shall be implemented to assign or revoke access rights,Keycloak realm import used as provisioning mechanism; remediation_log.csv documents formal revocation process,remediation_log.csv,IMPLEMENTED
A.9.2.5,ISO 27001,Review of User Access Rights,Asset owners shall review users' access rights at regular intervals,Access certification campaign conducted — 69 entitlements reviewed 5 revoked 4 exceptions documented,access_certification.csv,IMPLEMENTED
A.9.2.6,ISO 27001,Removal or Adjustment of Access Rights,Access rights of all employees and external party users to information shall be removed upon termination,Revocation of 4 drifted entitlements executed and logged with reviewer identity and justification,remediation_log.csv,IMPLEMENTED
A.9.4.1,ISO 27001,Information Access Restriction,Access to information and application system functions shall be restricted in accordance with the access control policy,SoD ruleset defined and enforced — critical fraud-enabling entitlement combinations identified and remediated,sod_rules.csv + sod_violations.csv,IMPLEMENTED
AC-1,NIST 800-53,Access Control Policy and Procedures,Develop document and disseminate an access control policy,RBAC design documented in org-design.md with entitlement catalog sensitivity ratings and SoD-sensitive pairs identified at design time,org-design.md,IMPLEMENTED
AC-2,NIST 800-53,Account Management,Manage information system accounts including establishing activating modifying reviewing disabling and removing accounts,All 26 accounts created in Keycloak with role assignments; access certification campaign conducted for periodic review,northfield-realm.json + access_certification.csv,IMPLEMENTED
AC-3,NIST 800-53,Access Enforcement,Enforce approved authorizations for logical access to information and system resources,Keycloak IdP enforces role-based access; baseline defined in rbac_matrix.csv; post-remediation state verified clean,rbac_matrix.csv + user_entitlements_after.csv,IMPLEMENTED
AC-5,NIST 800-53,Separation of Duties,Identify and document separation of duties conflicts; define and implement access control policies to prevent conflicts,4 SoD rules defined; 9 violations detected across 5 users; critical violations revoked; design-time conflicts documented with compensating controls,sod_rules.csv + sod_violations.csv + access_certification.csv,IMPLEMENTED
AC-6,NIST 800-53,Least Privilege,Employ the principle of least privilege allowing only authorized accesses for users which are necessary to accomplish assigned tasks,16 roles designed with minimum entitlements; drift detected in 4 users and remediated; sensitivity levels assigned per entitlement,rbac_matrix.csv + remediation_log.csv,IMPLEMENTED
AC-17,NIST 800-53,Remote Access,Establish and document usage restrictions configuration and implementation guidance for each type of remote access,Keycloak provides centralized authentication for all system access; admin console access restricted to IT Director and IAM Admin roles,rbac_matrix.csv,IMPLEMENTED
AU-2,NIST 800-53,Event Logging,Identify the types of events that the system is capable of logging in support of the audit function,Keycloak provides audit logging of authentication and admin events; access certification campaign creates human audit trail,access_certification.csv + remediation_log.csv,IMPLEMENTED
